"시군구명","시간대","분류","매출건수","매출금액합계","데이터기준일"
"창원시 성산구","14","식생활","222871","4353032799","20240101"
"창원시 성산구","14","여행","685","20710119","20240101"
"창원시 성산구","14","유통","197463","5790631515","20240101"
"창원시 성산구","14","유흥","190","2517300","20240101"
"창원시 성산구","14","의료/미용","86593","4433066047","20240101"
"창원시 성산구","14","의생활","8122","541696929","20240101"
"창원시 성산구","14","자동차","31309","1335302419","20240101"
"창원시 성산구","14","주거생활","36","3082600","20240101"
"창원시 성산구","15","교육","7650","683576108","20240101"
"창원시 성산구","15","기타","636","42625427","20240101"
"창원시 성산구","15","내구재","553","48295360","20240101"
"창원시 성산구","15","레포츠/문화/취미","24315","597485385","20240101"
"창원시 성산구","15","서비스","7297","391196664","20240101"
"창원시 성산구","15","식생활","180129","2957314727","20240101"
"창원시 성산구","15","여행","684","24595366","20240101"
"창원시 성산구","15","유통","219789","6580019215","20240101"
"창원시 성산구","15","유흥","211","2053700","20240101"
"창원시 성산구","15","의료/미용","94579","5151973173","20240101"
"창원시 성산구","15","의생활","8765","613753328","20240101"
"창원시 성산구","15","자동차","33149","1401736971","20240101"
"창원시 성산구","15","주거생활","53","1233432","20240101"
"창원시 성산구","16","교육","8402","835076185","20240101"
"창원시 성산구","16","기타","582","29443849","20240101"
"창원시 성산구","16","내구재","413","53106450","20240101"
"창원시 성산구","16","레포츠/문화/취미","25575","639696221","20240101"
"창원시 성산구","16","서비스","7245","454563948","20240101"
"창원시 성산구","16","식생활","167230","2602589384","20240101"
"창원시 성산구","16","여행","1127","75697654","20240101"
"창원시 성산구","16","유통","237928","6801312271","20240101"
"창원시 성산구","16","유흥","314","3427700","20240101"
"창원시 성산구","16","의료/미용","96014","5034136178","20240101"
"창원시 성산구","16","의생활","8842","639732905","20240101"
"창원시 성산구","16","자동차","33596","1449775471","20240101"
"창원시 성산구","16","주거생활","40","855510","20240101"
"창원시 성산구","17","교육","8323","882620336","20240101"
"창원시 성산구","17","기타","639","19689448","20240101"
"창원시 성산구","17","내구재","285","72704150","20240101"
"창원시 성산구","17","레포츠/문화/취미","25686","701195052","20240101"
"창원시 성산구","17","서비스","6473","289419091","20240101"
"창원시 성산구","17","식생활","199689","3815921440","20240101"
"창원시 성산구","17","여행","2037","181067218","20240101"
"창원시 성산구","17","유통","274865","6659079898","20240101"
"창원시 성산구","17","유흥","399","3671600","20240101"
"창원시 성산구","17","의료/미용","89276","4232094012","20240101"
"창원시 성산구","17","의생활","7911","573831611","20240101"
"창원시 성산구","17","자동차","33267","1424700066","20240101"
"창원시 성산구","17","주거생활","29","441500","20240101"
"창원시 성산구","18","교육","7900","980084342","20240101"
"창원시 성산구","18","기타","485","12285430","20240101"
"창원시 성산구","18","내구재","226","36647810","20240101"
"창원시 성산구","18","레포츠/문화/취미","27040","720265694","20240101"
"창원시 성산구","18","서비스","5521","171756511","20240101"
"창원시 성산구","18","식생활","268295","6794154508","20240101"
"창원시 성산구","18","여행","1786","151766505","20240101"
"창원시 성산구","18","유통","282355","6085925361","20240101"
"창원시 성산구","18","유흥","540","10119600","20240101"
"창원시 성산구","18","의료/미용","60924","3065798594","20240101"
"창원시 성산구","18","의생활","7206","498643371","20240101"
"창원시 성산구","18","자동차","29374","1164797277","20240101"
"창원시 성산구","18","주거생활","26","194600","20240101"
"창원시 성산구","19","교육","5747","612648405","20240101"
"창원시 성산구","19","기타","155","3862600","20240101"
"창원시 성산구","19","내구재","144","6315245","20240101"
"창원시 성산구","19","레포츠/문화/취미","28955","737318976","20240101"
"창원시 성산구","19","서비스","4871","77041653","20240101"
"창원시 성산구","19","식생활","286023","10592763758","20240101"
"창원시 성산구","19","여행","948","90278155","20240101"
"창원시 성산구","19","유통","250386","5275456957","20240101"
"창원시 성산구","19","유흥","1080","32707810","20240101"
